Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
2,3,seulement,only
3,4,police,police
4,5,aide,help
5,6,mois,month
6,8,laisser,let
7,10,mettre,to put
8,11,aucun,no
10,13,eux,them
11,14,ville,city
12,15,chaque,each
13,16,parlé,speak
14,17,arrivé,come
15,21,vont,will
17,23,revoir,meet again
18,24,aucune,any
19,25,place,square
20,28,savais,knew
21,29,étaient,were
22,30,voici,here is
23,31,pourrais,could
24,32,affaire,case
25,34,type,type
26,35,leurs,their
28,37,train,train
29,38,corps,body
30,40,yeux,eyes
32,42,écoute,listen
33,44,trouve,find
34,45,premier,first
35,46,perdu,lost
36,47,main,hand
38,49,côté,side
40,52,sois,be
41,53,matin,morning
42,54,tellement,so much
45,57,venu,came
46,58,suite,after
47,60,venez,come
48,61,devant,in front of
49,62,vers,towards
50,64,demandé,request
51,66,mis,placed
53,68,droit,law
54,69,aimerais,would like to
55,71,mari,husband
56,72,cause,cause
57,73,enfin,finally
59,76,attendez,Wait
60,77,parti,left
61,78,nouvelle,new
62,79,boulot,job
63,80,arrêter,Stop
64,81,dirait,would say
65,82,terre,Earth
67,84,donne,given
68,85,loin,far
72,89,gros,large
73,90,plutôt,rather
74,91,aura,will have
75,92,filles,girls
